Model,Const,Mem,Prop,#States (min),#Params (min),Add. Settings,Method,Time,Found
drone,N=5 R=3 ,1,"0.85_probability__max_""notbad"" U ""goal""",	3678,2641,Logistic Sigmoid,adam,311.068,0.8509
drone,N=5 R=3 ,1,"0.85_probability__max_""notbad"" U ""goal""",	3678,2641,Logarithmic Barrier,radam,N/A,N/A
drone,N=5 R=3 ,1,"0.85_probability__max_""notbad"" U ""goal""",	3678,2641,Project with gradient,radam,226.521,0.8544
drone,N=5 R=3 ,1,"0.85_probability__max_""notbad"" U ""goal""",	3678,2641,Logistic Sigmoid,radam,584.696,0.8513
drone,N=5 R=3 ,1,"0.85_probability__max_""notbad"" U ""goal""",	3678,2641,Logarithmic Barrier,rmsprop,N/A,N/A
drone,N=5 R=3 ,1,"0.85_probability__max_""notbad"" U ""goal""",	3678,2641,Project with gradient,rmsprop,107.494,0.8501
drone,N=5 R=3 ,1,"0.85_probability__max_""notbad"" U ""goal""",	3678,2641,Logistic Sigmoid,rmsprop,1685.616,0.8501
drone,N=5 R=3 ,1,"0.85_probability__max_""notbad"" U ""goal""",	3678,2641,Logarithmic Barrier,plain,N/A,N/A
drone,N=5 R=3 ,1,"0.85_probability__max_""notbad"" U ""goal""",	3678,2641,Project with gradient,plain,N/A,N/A
drone,N=5 R=3 ,1,"0.85_probability__max_""notbad"" U ""goal""",	3678,2641,Logistic Sigmoid,plain,N/A,N/A
drone,N=5 R=3 ,1,"0.85_probability__max_""notbad"" U ""goal""",	3678,2641,Logarithmic Barrier,plain-sign,N/A,N/A
drone,N=5 R=3 ,1,"0.85_probability__max_""notbad"" U ""goal""",	3678,2641,Project with gradient,plain-sign,114.048,0.8528
drone,N=5 R=3 ,1,"0.85_probability__max_""notbad"" U ""goal""",	3678,2641,Logistic Sigmoid,plain-sign,542.835,0.8501
drone,N=5 R=3 ,1,"0.85_probability__max_""notbad"" U ""goal""",	3678,2641,Logarithmic Barrier,momentum,N/A,N/A
drone,N=5 R=3 ,1,"0.85_probability__max_""notbad"" U ""goal""",	3678,2641,Project with gradient,momentum,N/A,N/A
drone,N=5 R=3 ,1,"0.85_probability__max_""notbad"" U ""goal""",	3678,2641,Logistic Sigmoid,momentum,N/A,N/A
drone,N=5 R=3 ,1,"0.85_probability__max_""notbad"" U ""goal""",	3678,2641,Logarithmic Barrier,momentum-sign,N/A,N/A
drone,N=5 R=3 ,1,"0.85_probability__max_""notbad"" U ""goal""",	3678,2641,Project with gradient,momentum-sign,91.178,0.8513
drone,N=5 R=3 ,1,"0.85_probability__max_""notbad"" U ""goal""",	3678,2641,Logistic Sigmoid,momentum-sign,246.055,0.8534
drone,N=5 R=3 ,1,"0.85_probability__max_""notbad"" U ""goal""",	3678,2641,Logarithmic Barrier,nesterov,N/A,N/A
drone,N=5 R=3 ,1,"0.85_probability__max_""notbad"" U ""goal""",	3678,2641,Project with gradient,nesterov,N/A,N/A
drone,N=5 R=3 ,1,"0.85_probability__max_""notbad"" U ""goal""",	3678,2641,Logistic Sigmoid,nesterov,N/A,N/A
drone,N=5 R=3 ,1,"0.85_probability__max_""notbad"" U ""goal""",	3678,2641,Logarithmic Barrier,nesterov-sign,N/A,N/A
drone,N=5 R=3 ,1,"0.85_probability__max_""notbad"" U ""goal""",	3678,2641,Project with gradient,nesterov-sign,118.339,0.852
drone,N=5 R=3 ,1,"0.85_probability__max_""notbad"" U ""goal""",	3678,2641,Logistic Sigmoid,nesterov-sign,320.19,0.8535
4x4grid-avoid,N/A,5,0.9_probability__max_goal,	1216,100,Logarithmic Barrier,adam,N/A,N/A
4x4grid-avoid,N/A,5,0.9_probability__max_goal,	1216,100,Project with gradient,adam,0.722,0.9192
4x4grid-avoid,N/A,5,0.9_probability__max_goal,	1216,100,Logistic Sigmoid,adam,2.504,0.9001
4x4grid-avoid,N/A,5,0.9_probability__max_goal,	1216,100,Logarithmic Barrier,radam,N/A,N/A
4x4grid-avoid,N/A,5,0.9_probability__max_goal,	1216,100,Project with gradient,radam,2.033,0.9047
4x4grid-avoid,N/A,5,0.9_probability__max_goal,	1216,100,Logistic Sigmoid,radam,5.988,0.9003
4x4grid-avoid,N/A,5,0.9_probability__max_goal,	1216,100,Logarithmic Barrier,rmsprop,N/A,N/A
4x4grid-avoid,N/A,5,0.9_probability__max_goal,	1216,100,Project with gradient,rmsprop,0.325,0.9095
4x4grid-avoid,N/A,5,0.9_probability__max_goal,	1216,100,Logistic Sigmoid,rmsprop,2.813,0.9004
4x4grid-avoid,N/A,5,0.9_probability__max_goal,	1216,100,Logarithmic Barrier,plain,N/A,N/A
4x4grid-avoid,N/A,5,0.9_probability__max_goal,	1216,100,Project with gradient,plain,5.244,0.9006
4x4grid-avoid,N/A,5,0.9_probability__max_goal,	1216,100,Logistic Sigmoid,plain,194.62,0.9
4x4grid-avoid,N/A,5,0.9_probability__max_goal,	1216,100,Logarithmic Barrier,plain-sign,N/A,N/A
4x4grid-avoid,N/A,5,0.9_probability__max_goal,	1216,100,Project with gradient,plain-sign,0.345,0.9131
4x4grid-avoid,N/A,5,0.9_probability__max_goal,	1216,100,Logistic Sigmoid,plain-sign,1.941,0.9008
4x4grid-avoid,N/A,5,0.9_probability__max_goal,	1216,100,Logarithmic Barrier,momentum,N/A,N/A
4x4grid-avoid,N/A,5,0.9_probability__max_goal,	1216,100,Project with gradient,momentum,1.137,0.9064
4x4grid-avoid,N/A,5,0.9_probability__max_goal,	1216,100,Logistic Sigmoid,momentum,18.567,0.9001
4x4grid-avoid,N/A,5,0.9_probability__max_goal,	1216,100,Logarithmic Barrier,momentum-sign,N/A,N/A
4x4grid-avoid,N/A,5,0.9_probability__max_goal,	1216,100,Project with gradient,momentum-sign,0.264,0.9279
4x4grid-avoid,N/A,5,0.9_probability__max_goal,	1216,100,Logistic Sigmoid,momentum-sign,0.81,0.9082
4x4grid-avoid,N/A,5,0.9_probability__max_goal,	1216,100,Logarithmic Barrier,nesterov,N/A,N/A
4x4grid-avoid,N/A,5,0.9_probability__max_goal,	1216,100,Project with gradient,nesterov,1.21,0.9043
4x4grid-avoid,N/A,5,0.9_probability__max_goal,	1216,100,Logistic Sigmoid,nesterov,6123.722,0.9
4x4grid-avoid,N/A,5,0.9_probability__max_goal,	1216,100,Logarithmic Barrier,nesterov-sign,ERR,ERR
4x4grid-avoid,N/A,5,0.9_probability__max_goal,	1216,100,Project with gradient,nesterov-sign,0.281,0.9279
4x4grid-avoid,N/A,5,0.9_probability__max_goal,	1216,100,Logistic Sigmoid,nesterov-sign,1.107,0.905
4x4grid-avoid,N/A,10,0.9_probability__max_goal,	4931,400,Logarithmic Barrier,adam,N/A,N/A
4x4grid-avoid,N/A,10,0.9_probability__max_goal,	4931,400,Project with gradient,adam,7.977,0.9103
4x4grid-avoid,N/A,10,0.9_probability__max_goal,	4931,400,Logistic Sigmoid,adam,22.811,0.9036
4x4grid-avoid,N/A,10,0.9_probability__max_goal,	4931,400,Logarithmic Barrier,radam,N/A,N/A
4x4grid-avoid,N/A,10,0.9_probability__max_goal,	4931,400,Project with gradient,radam,22.486,0.9079
4x4grid-avoid,N/A,10,0.9_probability__max_goal,	4931,400,Logistic Sigmoid,radam,49.813,0.9012
4x4grid-avoid,N/A,10,0.9_probability__max_goal,	4931,400,Logarithmic Barrier,rmsprop,N/A,N/A
4x4grid-avoid,N/A,10,0.9_probability__max_goal,	4931,400,Project with gradient,rmsprop,5.006,0.9003
