Model,Const,Mem,Prop,#States (min),#Params (min),Add. Settings,Method,Time,Found
nrp,K=16 ,5,0.001_probability__min_unfair,	5806,705,lr=0.1 args=--constraint-method project-gradient,momentum-sign,16.366,0.0005
nrp,K=16 ,5,0.001_probability__min_unfair,	5806,705,lr=0.1 args=--constraint-method project-gradient,momentum-sign,15.748,0.0009
nrp,K=16 ,5,0.001_probability__min_unfair,?,?,lr=0.1 args=--constraint-method project-gradient,qcqp,61.7818,0.0
nrp,K=16 ,5,0.001_probability__min_unfair,?,?,lr=0.1 args=--constraint-method project-gradient,qcqp,61.5356,0.0
nrp,K=16 ,5,0.001_probability__min_unfair,?,?,lr=0.1 args=--constraint-method project-gradient,qcqp,61.6407,0.0
nrp,K=16 ,5,0.001_probability__min_unfair,?,?,lr=0.1 args=--constraint-method project-gradient,qcqp,61.9469,0.0
nrp,K=16 ,5,0.001_probability__min_unfair,?,?,lr=0.1 args=--constraint-method project-gradient,qcqp,61.2575,0.0
nrp,K=16 ,5,0.001_probability__min_unfair,?,?,lr=0.1 args=--constraint-method project-gradient,pso,N/A,N/A
nrp,K=16 ,5,0.001_probability__min_unfair,?,?,lr=0.1 args=--constraint-method project-gradient,pso,N/A,N/A
nrp,K=16 ,5,0.001_probability__min_unfair,?,?,lr=0.1 args=--constraint-method project-gradient,pso,N/A,N/A
nrp,K=16 ,5,0.001_probability__min_unfair,?,?,lr=0.1 args=--constraint-method project-gradient,pso,N/A,N/A
nrp,K=16 ,5,0.001_probability__min_unfair,?,?,lr=0.1 args=--constraint-method project-gradient,pso,N/A,N/A
network2_packets_sent,K=8 T=5 ,1,0.1_reward__min_goal,	397,141,lr=0.1 args=--constraint-method project-gradient,momentum-sign,0.802,0.0
network2_packets_sent,K=8 T=5 ,1,0.1_reward__min_goal,	397,141,lr=0.1 args=--constraint-method project-gradient,momentum-sign,0.801,0.0
network2_packets_sent,K=8 T=5 ,1,0.1_reward__min_goal,	397,141,lr=0.1 args=--constraint-method project-gradient,momentum-sign,0.798,0.0
network2_packets_sent,K=8 T=5 ,1,0.1_reward__min_goal,	397,141,lr=0.1 args=--constraint-method project-gradient,momentum-sign,0.804,0.0
network2_packets_sent,K=8 T=5 ,1,0.1_reward__min_goal,	397,141,lr=0.1 args=--constraint-method project-gradient,momentum-sign,0.797,0.0
network2_packets_sent,K=8 T=5 ,1,0.1_reward__min_goal,?,?,lr=0.1 args=--constraint-method project-gradient,qcqp,0.9875,0.0002
