Model,Const,Mem,Prop,#States (min),#Params (min),Add. Settings,Method,Time,Found
nrp,K=16 ,5,0.001_probability__min_unfair,	5806,705,lr=0.001 Project with gradient,nesterov-sign,N/A,N/A
nrp,K=16 ,5,0.001_probability__min_unfair,	5806,705,lr=0.001 Logistic Sigmoid,nesterov-sign,N/A,N/A
network2_packets_sent,K=8 T=5 ,1,0.1_reward__min_goal,	397,141,lr=0.1 Logarithmic Barrier,adam,N/A,N/A
network2_packets_sent,K=8 T=5 ,1,0.1_reward__min_goal,	397,141,lr=0.1 Project without gradient,adam,1.888,0.0789
network2_packets_sent,K=8 T=5 ,1,0.1_reward__min_goal,	397,141,lr=0.1 Project with gradient,adam,1.883,0.0789
network2_packets_sent,K=8 T=5 ,1,0.1_reward__min_goal,	397,141,lr=0.1 Logistic Sigmoid,adam,16.263,0.0998
network2_packets_sent,K=8 T=5 ,1,0.1_reward__min_goal,	397,141,lr=0.1 Logarithmic Barrier,momentum-sign,N/A,N/A
network2_packets_sent,K=8 T=5 ,1,0.1_reward__min_goal,	397,141,lr=0.1 Project without gradient,momentum-sign,0.896,0.0
network2_packets_sent,K=8 T=5 ,1,0.1_reward__min_goal,	397,141,lr=0.1 Project with gradient,momentum-sign,0.897,0.0
network2_packets_sent,K=8 T=5 ,1,0.1_reward__min_goal,	397,141,lr=0.1 Logistic Sigmoid,momentum-sign,3.436,0.0967
network2_packets_sent,K=8 T=5 ,1,0.1_reward__min_goal,	397,141,lr=0.1 Logarithmic Barrier,nesterov-sign,ERR,ERR
network2_packets_sent,K=8 T=5 ,1,0.1_reward__min_goal,	397,141,lr=0.1 Project without gradient,nesterov-sign,0.967,0.0
network2_packets_sent,K=8 T=5 ,1,0.1_reward__min_goal,	397,141,lr=0.1 Project with gradient,nesterov-sign,0.965,0.0
network2_packets_sent,K=8 T=5 ,1,0.1_reward__min_goal,	397,141,lr=0.1 Logistic Sigmoid,nesterov-sign,3.719,0.0967
network2_packets_sent,K=8 T=5 ,1,0.1_reward__min_goal,	397,141,lr=0.01 Logarithmic Barrier,adam,N/A,N/A
network2_packets_sent,K=8 T=5 ,1,0.1_reward__min_goal,	397,141,lr=0.01 Project without gradient,adam,10.481,0.033
network2_packets_sent,K=8 T=5 ,1,0.1_reward__min_goal,	397,141,lr=0.01 Project with gradient,adam,8.804,0.033
network2_packets_sent,K=8 T=5 ,1,0.1_reward__min_goal,	397,141,lr=0.01 Logistic Sigmoid,adam,288.18,0.1
network2_packets_sent,K=8 T=5 ,1,0.1_reward__min_goal,	397,141,lr=0.01 Logarithmic Barrier,momentum-sign,N/A,N/A
network2_packets_sent,K=8 T=5 ,1,0.1_reward__min_goal,	397,141,lr=0.01 Project without gradient,momentum-sign,3.032,0.0088
network2_packets_sent,K=8 T=5 ,1,0.1_reward__min_goal,	397,141,lr=0.01 Project with gradient,momentum-sign,3.054,0.0088
network2_packets_sent,K=8 T=5 ,1,0.1_reward__min_goal,	397,141,lr=0.01 Logistic Sigmoid,momentum-sign,15.038,0.0967
network2_packets_sent,K=8 T=5 ,1,0.1_reward__min_goal,	397,141,lr=0.01 Logarithmic Barrier,nesterov-sign,N/A,N/A
network2_packets_sent,K=8 T=5 ,1,0.1_reward__min_goal,	397,141,lr=0.01 Project without gradient,nesterov-sign,3.277,0.0088
network2_packets_sent,K=8 T=5 ,1,0.1_reward__min_goal,	397,141,lr=0.01 Project with gradient,nesterov-sign,3.236,0.0088
network2_packets_sent,K=8 T=5 ,1,0.1_reward__min_goal,	397,141,lr=0.01 Logistic Sigmoid,nesterov-sign,19.661,0.0967
network2_packets_sent,K=8 T=5 ,1,0.1_reward__min_goal,	397,141,lr=0.001 Logarithmic Barrier,adam,N/A,N/A
network2_packets_sent,K=8 T=5 ,1,0.1_reward__min_goal,	397,141,lr=0.001 Project without gradient,adam,72.014,0.097
network2_packets_sent,K=8 T=5 ,1,0.1_reward__min_goal,	397,141,lr=0.001 Project with gradient,adam,87.853,0.097
network2_packets_sent,K=8 T=5 ,1,0.1_reward__min_goal,	397,141,lr=0.001 Logistic Sigmoid,adam,2067.441,0.1
network2_packets_sent,K=8 T=5 ,1,0.1_reward__min_goal,	397,141,lr=0.001 Logarithmic Barrier,momentum-sign,N/A,N/A
network2_packets_sent,K=8 T=5 ,1,0.1_reward__min_goal,	397,141,lr=0.001 Project without gradient,momentum-sign,16.83,0.0684
network2_packets_sent,K=8 T=5 ,1,0.1_reward__min_goal,	397,141,lr=0.001 Project with gradient,momentum-sign,16.726,0.0684
network2_packets_sent,K=8 T=5 ,1,0.1_reward__min_goal,	397,141,lr=0.001 Logistic Sigmoid,momentum-sign,127.501,0.0999
network2_packets_sent,K=8 T=5 ,1,0.1_reward__min_goal,	397,141,lr=0.001 Logarithmic Barrier,nesterov-sign,N/A,N/A
network2_packets_sent,K=8 T=5 ,1,0.1_reward__min_goal,	397,141,lr=0.001 Project without gradient,nesterov-sign,18.192,0.0684
network2_packets_sent,K=8 T=5 ,1,0.1_reward__min_goal,	397,141,lr=0.001 Project with gradient,nesterov-sign,18.109,0.0684
network2_packets_sent,K=8 T=5 ,1,0.1_reward__min_goal,	397,141,lr=0.001 Logistic Sigmoid,nesterov-sign,136.815,0.0999
network2_priorities_dropped_packets,K=8 T=5 ,1,3.5_reward__min_goal,	2822,889,lr=0.1 Logarithmic Barrier,adam,N/A,N/A
network2_priorities_dropped_packets,K=8 T=5 ,1,3.5_reward__min_goal,	2822,889,lr=0.1 Project without gradient,adam,198.2,3.499
network2_priorities_dropped_packets,K=8 T=5 ,1,3.5_reward__min_goal,	2822,889,lr=0.1 Project with gradient,adam,237.556,3.499
